feature_id,feature,fr_id,nist_800_53,ssdf,cisa_sbom,io_privacy_note,state,test_id,notes
F-01,Pinned dependencies on release tags,FR-DAS-08,"SR-3,CM-2","PW.4,PS.3",CISA-2026-transitive-coverage,,target,TEST-SBOM-01,Replace floating >= pins in lockfile
F-02,Secrets never in git; .env gitignored,FR-DAS-02,"IA-5,SC-28",PS.1,,Token is credential not USP,present,TEST-SEC-01,.gitignore contains .env
F-03,Fetch timeouts and same-domain bound,FR-DAS-03,"SC-7,SC-5",PW.5,,Limits off-origin collection,partial,TEST-FETCH-01,Redirects may leave origin in 0.1.0
F-04,Fetch size limits; private-IP deny; rate limit,FR-DAS-04,"SC-5,SC-7",PW.5,,Avoids internal-host crawl,target,TEST-FETCH-02,prod/audit only for IP deny
F-05,--out and --repo-name sanitization,FR-DAS-05,"SI-10,AC-6",PW.5,,,target,TEST-PATH-01,Path confinement to CWD or reports/
F-06,HTML omitted from analysis.json,FR-DAS-06,"PT-3,SI-12",PW.9,,Minimizes page-body retention,present,TEST-MIN-01,PageSnapshot.to_dict pops html
F-07,Cookie-sync query redaction in prod,FR-DAS-06,"PT-2,PT-3",PW.9,,Residual USP risk if unredacted,partial,TEST-MIN-02,0.1.0 truncates URL to 240 chars only
F-08,Auction CSV not pushed to GitHub,FR-DAS-07,"AC-3,PT-2",PW.9,,Persona labels stay local,present,TEST-BID-01,influence has no push path
F-09,--push opt-in; default private repo,FR-DAS-01;FR-DAS-12,"AC-3,AC-6",PW.1,Secure-by-Design-defaults,Default deny remote copy,present,TEST-PUSH-01,private=True in cli.py
F-10,PAT constructed only on push path,FR-DAS-02,"AC-6,IA-5",PS.1,,,partial,TEST-PUSH-03,GitHubClient init is inside push branch
F-11,SPDX 3.x SBOM and VEX with release,FR-DAS-08,"SR-4,SI-7,RA-5","PS.3,RV.1",CISA-2026-minimum-elements,,target,TEST-SBOM-01,Store SBOM with tag/wheel
F-12,Signed git tags / optional wheel attestations,FR-DAS-08,"SI-7,CM-14",PS.2,SBOM-author-signature,,target,TEST-SIGN-01,No live key material in docs
F-13,Minimized audit; no token in logs,FR-DAS-10,"AU-2,AU-3",RV.1,,Logs are not a person-collection channel,target,TEST-AU-01,Redact GitHub error bodies
F-14,Permissioned-use policy and CLI warning,FR-DAS-09,"PL-4,SA-8",PO.1,Secure-by-Design,Purpose limitation,partial,TEST-ETH-01,README present; CLI warning target
F-15,Identifying User-Agent,,"SA-8",PO.5,Transparency,Not covert,present,TEST-UA-01,Deep-Ad-Slot/0.1 + repo URL
F-16,Optional sklearn ephemeral fit,FR-DAS-11,SA-8,PW.1,SBOM-for-AI-NA,No identity model,present,TEST-ML-01,Do not persist model weights
F-17,Secret SAST license scan in CI,FR-DAS-08,"SA-11,RA-5,CM-7","PW.7,PW.8",Component-license-field,,target,TEST-CI-01,See example workflow
F-18,Third-party intake record,FR-DAS-08,"SR-1,SR-3,SR-11",PO.3,C-SCRM,,target,TEST-SCRM-01,examples/third-party-intake.record.example
F-19,Profile contract dev/audit/prod,NFR-DAS-05,"CM-2,CM-6",PW.1,,prod tightens Tier 3,target,TEST-PROF-01,conf/profiles.yml
F-20,Briefing provenance version and hash,FR-DAS-10,"AU-10,SI-7",PS.2,SBOM-stored-with-artifact,,partial,TEST-AU-02,Seed URL present; version/hash target
NA-01,IEC 62443,,"N/A",N/A,N/A,N/A,N/A,N/A,Not industrial/OT
NA-02,ISO 26262 / ISO 21434,,"N/A",N/A,N/A,N/A,N/A,N/A,Not automotive
NA-03,ISO 13485 / IEC 62304,,"N/A",N/A,N/A,N/A,N/A,N/A,Not medical
NA-04,NIST SP 800-204,,"N/A",N/A,N/A,N/A,N/A,N/A,Not a microservice in 0.1.0
NA-05,NIST SP 800-218A,,"N/A",N/A,SBOM-for-AI-NA,N/A,N/A,N/A,No generative/foundation model artifact
NA-06,CNSSI 1253,,"N/A-conditional",N/A,N/A,N/A,N/A,N/A,Only if program categorizes hosted NSS
NA-07,STIG certification,,"N/A",N/A,N/A,N/A,N/A,N/A,Benchmarks only; not certified
